DATE,STOCK,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,FORECAST,MODEL_TYPE,RUN_DATE
2024-06-14,TAEE4.SA,14,4,2,6,2,2024,11.341988915973953,11.29628646076352,11.326754764237142,11.356498741777996,ET,2024-06-10
2024-06-17,TAEE4.SA,17,0,3,6,2,2024,11.356498741777996,11.341988915973953,11.351662133176648,11.352954450451724,ET,2024-06-10
2024-06-18,TAEE4.SA,18,1,3,6,2,2024,11.352954450451724,11.356498741777996,11.354135880893814,11.35003774354663,ET,2024-06-10
2024-06-11,EGIE3.SA,11,1,2,6,2,2024,43.56,43.48,43.68333333333333,35.20316696166992,XGB,2024-06-10
2024-06-12,EGIE3.SA,12,2,2,6,2,2024,35.20316696166992,43.56,37.98877797444661,31.274959564208984,XGB,2024-06-10
2024-06-13,EGIE3.SA,13,3,2,6,2,2024,31.274959564208984,35.20316696166992,32.5843620300293,27.973674774169922,XGB,2024-06-10
2024-06-14,EGIE3.SA,14,4,2,6,2,2024,27.973674774169922,31.274959564208984,29.0741024017334,25.302186965942383,XGB,2024-06-10
2024-06-17,EGIE3.SA,17,0,3,6,2,2024,25.302186965942383,27.973674774169922,26.19268226623535,22.929468154907227,XGB,2024-06-10
2024-06-18,EGIE3.SA,18,1,3,6,2,2024,22.929468154907227,25.302186965942383,23.720375061035156,20.397748947143555,XGB,2024-06-10
2024-06-11,EGIE3.SA,11,1,2,6,2,2024,43.56,43.48,43.68333333333333,43.88808413045288,ET,2024-06-10
2024-06-12,EGIE3.SA,12,2,2,6,2,2024,43.88808413045288,43.56,43.77872275363526,43.97910601689976,ET,2024-06-10
2024-06-13,EGIE3.SA,13,3,2,6,2,2024,43.97910601689976,43.88808413045288,43.948765388084134,43.91049331265138,ET,2024-06-10
2024-06-14,EGIE3.SA,14,4,2,6,2,2024,43.91049331265138,43.97910601689976,43.9333642140675,43.63318508615567,ET,2024-06-10
2024-06-17,EGIE3.SA,17,0,3,6,2,2024,43.63318508615567,43.91049331265138,43.72562116165424,43.8682493642387,ET,2024-06-10
2024-06-18,EGIE3.SA,18,1,3,6,2,2024,43.8682493642387,43.63318508615567,43.789894604877695,44.05084768356644,ET,2024-06-10
2024-06-11,BBSE3.SA,11,1,2,6,2,2024,32.69,32.69,32.776666666666664,27.201934814453125,XGB,2024-06-10
2024-06-12,BBSE3.SA,12,2,2,6,2,2024,27.201934814453125,32.69,29.031289876302083,24.011930465698242,XGB,2024-06-10
2024-06-13,BBSE3.SA,13,3,2,6,2,2024,24.011930465698242,27.201934814453125,25.075265884399414,20.925209045410156,XGB,2024-06-10
2024-06-14,BBSE3.SA,14,4,2,6,2,2024,20.925209045410156,24.011930465698242,21.954116821289062,18.217803955078125,XGB,2024-06-10
2024-06-17,BBSE3.SA,17,0,3,6,2,2024,18.217803955078125,20.925209045410156,19.120271682739258,15.923083305358887,XGB,2024-06-10
2024-06-18,BBSE3.SA,18,1,3,6,2,2024,15.923083305358887,18.217803955078125,16.687990188598633,13.891042709350586,XGB,2024-06-10
2024-06-11,BBSE3.SA,11,1,2,6,2,2024,32.69,32.69,32.776666666666664,32.750439627917025,ET,2024-06-10
2024-06-12,BBSE3.SA,12,2,2,6,2,2024,32.750439627917025,32.69,32.730293085278014,32.77682879842394,ET,2024-06-10
2024-06-13,BBSE3.SA,13,3,2,6,2,2024,32.77682879842394,32.750439627917025,32.768032408254975,32.78970360001124,ET,2024-06-10
